trajectory,scenario,variant,num_seeds,seeds,success_rate,rmse_position_mean,rmse_position_std,final_position_error_norm_mean,final_position_error_norm_std,rmse_yaw_mean,rmse_yaw_std,all_runs_finite
figure8,anisotropic_noise,measurement_noise,5,"7,42,123,314,2026",0.0,4.438497400427912,2.0401158357683036,26.946699347586616,15.789251152881404,8.527280822456397,5.458663231087832,True
figure8,anisotropic_noise,residual_variance,5,"7,42,123,314,2026",0.0,4.447126019733333,2.0263802744877735,27.05048469466098,15.635999698493809,8.544454116586747,5.459900915500553,True
figure8,anisotropic_noise,uniform,5,"7,42,123,314,2026",0.0,4.781476015682255,1.863584040479579,31.278763914858622,12.632632809409664,8.069919174738745,5.420541577295329,True
figure8,anisotropic_noise,xyz_only,5,"7,42,123,314,2026",0.0,155.61666872066172,112.82946897186982,371.40194022621245,340.80097912577924,0.0,0.0,True
figure8,yaw_drift,measurement_noise,5,"7,42,123,314,2026",0.8,0.15841250904645907,0.2214199623178342,1.6543599632546961,3.324154495556853,0.2912300626255882,0.02223598141226733,True
figure8,yaw_drift,residual_variance,5,"7,42,123,314,2026",0.8,0.45442153255422835,0.8693530203357326,4.825962376173998,9.978041288884636,0.31454883812711365,0.046044086461692744,True
figure8,yaw_drift,uniform,5,"7,42,123,314,2026",0.8,0.15841250904645907,0.2214199623178342,1.6543599632546961,3.324154495556853,0.2912300626255882,0.02223598141226733,True
figure8,yaw_drift,xyz_only,5,"7,42,123,314,2026",0.0,159.80910135104915,116.46070715733357,454.85324595273806,413.39683110108547,0.0,0.0,True
step,anisotropic_noise,measurement_noise,5,"7,42,123,314,2026",0.0,1.746695616034912,0.9892025664072729,8.903617958297847,4.102296138474799,4.926076586875113,5.9576021686136205,True
step,anisotropic_noise,residual_variance,5,"7,42,123,314,2026",0.0,1.7479191360006077,0.991818919626591,8.934826870769822,4.168633737597937,4.926879819359331,5.957291740381774,True
step,anisotropic_noise,uniform,5,"7,42,123,314,2026",0.0,1.7244993918826226,0.9405278451496134,8.97800613475377,4.180790380632884,4.945507338432606,5.921238115904948,True
step,anisotropic_noise,xyz_only,5,"7,42,123,314,2026",0.0,168.89728787556547,123.39898041151626,461.0246151573265,344.5215648801617,0.0,0.0,True
step,yaw_drift,measurement_noise,5,"7,42,123,314,2026",0.2,1.2153569215074724,0.7600105047015386,14.508690344416497,9.553259925209622,0.4428261610358296,0.03793448705617329,True
step,yaw_drift,residual_variance,5,"7,42,123,314,2026",0.0,1.1132127185996759,0.6649039730148578,12.770711778105907,7.494448532668885,0.8182184849927723,0.1645345680711694,True
step,yaw_drift,uniform,5,"7,42,123,314,2026",0.2,1.2153569215074724,0.7600105047015386,14.508690344416497,9.553259925209622,0.4428261610358296,0.03793448705617329,True
step,yaw_drift,xyz_only,5,"7,42,123,314,2026",0.0,169.577400249943,128.18291326688308,479.7793922075951,411.137189531409,0.0,0.0,True
